Basic information,,,,Log2 Fold Change,,,,,,,,,Adjusted P-value,,,,,,,,,Normalized Peak Area: Samples,,,,,,,,,,,,,,,,,,,,,,,,Norm. Peak Area: Blanks (noise),,,,,,,Group CV [%],,,,,,,,
ID,Name,Calc. MW,RT [min],"(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)","(P40, KO) / (P40, WT)","(P2, KO) / (P2, WT)","(E14_5, KO) / (E14_5, WT)","(P40, WT) / (P2, WT)","(P40, WT) / (E14_5, WT)","(P2, WT) / (E14_5, WT)","(P40, KO) / (P2, KO)","(P40, KO) / (E14_5, KO)","(P2, KO) / (E14_5, KO)",S01_P40_WT1,S02_P40_KO1,S03_P40_WT2,S04_P40_KO2,S05_P40_WT3,S06_P40_KO3,S07_P40_WT4,S08_P40_KO4,S09_P2_WT1,S10_P2_KO1,S11_P2_WT2,S12_P2_KO2,S13_P2_WT3,S14_P2_KO3,S15_P2_WT4,S16_P2_KO4,S17_E14_5_WT1,S18_E14_5_KO1,S19_E14_5_WT2,S20_E14_5_KO2,S21_E14_5_WT3,S22_E14_5_KO3,S23_E14_5_WT4,S24_E14_5_KO4,blank01,blank02,blank03,blank04,blank05,blank06,blank07,"E14_5, KO","E14_5, WT","P2, KO","P2, WT","P40, KO","P40, WT",,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Serine,105.0426,3.75,0.35,A075,RP_pos_2020,91.03202549,5736,C00065,HMDB0000187,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Serine,105.0426,3.74,0.35,A075,RP_neg_2020,91.03202549,5736,C00065,HMDB0000187,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A005_RP,Hypotaurine,109.0198,3.86,0.2,0.5,0.4,-2.5,-4.3,-1.8,-2.8,-4.5,-1.7,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,6.92313515675863000000E-08,1.71254368710707000000E-11,1.48071827659905000000E-05,5.91933151617459000000E-09,8.18950035990768000000E-12,4.10776882460354000000E-05,2.5E+06,3.1E+06,2.7E+06,2.1E+06,3.1E+06,3.9E+06,2.7E+06,3.0E+06,2.0E+07,3.3E+07,1.6E+07,2.2E+07,1.1E+07,1.8E+07,1.6E+07,2.1E+07,5.5E+07,7.2E+07,5.9E+07,6.1E+07,4.1E+07,7.4E+07,5.1E+07,6.6E+07,9.2E+04,8.9E+04,8.3E+04,7.7E+04,8.1E+04,7.7E+04,8.0E+04,8.2,15.1,28.0,23.6,24.0,8.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,3.88,0.68,B019,RP_pos_2020,70.9566742,96959,C00519,HMDB0000965,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypotaurine,109.0198,3.86,0.68,B019,RP_neg_2020,70.9566742,96959,C00519,HMDB0000965,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A006_RP,L-Creatinine,113.0590,4.29,-0.1,-0.3,-0.5,0.8,0.1,-0.7,1.0,0.5,-0.5,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.73404734036287000000E-02,1.00000000000000000000E+00,6.17577214162933000000E-02,3.51827401473946000000E-03,4.20597308578399000000E-01,1.59930258551172000000E-01,2.8E+07,4.1E+07,3.5E+07,2.5E+07,2.9E+07,2.9E+07,3.2E+07,2.9E+07,2.0E+07,1.5E+07,1.7E+07,1.4E+07,1.5E+07,1.5E+07,1.9E+07,1.9E+07,3.4E+07,3.4E+07,3.4E+07,2.0E+07,2.4E+07,2.2E+07,2.2E+07,1.8E+07,1.2E+05,4.8E+05,4.4E+05,4.7E+05,4.0E+05,2.2E+05,3.3E+05,29.8,22.8,14.2,11.7,22.0,9.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Creatinine,113.0589,4.30,1.00,E25,RP_pos_2020,45.7926704,568,C00791,HMDB0000562,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A007_RP,L-Proline,115.0634,4.45,0.3,1.4,0.4,-1.8,-2.8,-1.0,-2.9,-3.0,-0.1,1.00000000000000000000E+00,3.18264701352289000000E-01,1.00000000000000000000E+00,2.47801306548128000000E-05,1.15200107989828000000E-07,5.01045947782340000000E-02,6.56161790527077000000E-08,9.13296693743657000000E-08,9.99999999992595000000E-01,1.5E+08,2.1E+08,1.6E+08,1.5E+08,1.6E+08,2.5E+08,1.4E+08,1.6E+08,1.0E+09,1.9E+09,5.1E+08,1.3E+09,5.4E+08,1.4E+09,4.0E+08,1.5E+09,9.0E+08,9.0E+08,1.1E+09,1.4E+09,1.1E+09,1.5E+09,1.1E+09,1.6E+09,4.2E+06,4.0E+06,3.9E+06,3.6E+06,3.4E+06,3.4E+06,3.6E+06,22.1,9.3,18.9,44.4,23.5,6.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-Citrulline,115.0634,4.21,-0.04,,RP_pos_2020,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Proline,115.0633,4.50,0.58,E13,RP_pos_2020,86.16440087,128566,C00148,HMDB0000162,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,In-source L-2-Aminoadipic acid,115.0634,4.78,0.14,,RP_pos_2020,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A008_RP,Fumaric acid,116.0110,10.34,0.3,-0.2,-0.3,1.6,0.1,-1.5,2.1,0.7,-1.4,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,4.09010393895190000000E-06,1.00000000000000000000E+00,1.26106257901617000000E-05,1.02918198219011000000E-06,7.62904980258254000000E-02,1.67852765950909000000E-04,9.9E+06,1.5E+07,1.1E+07,9.9E+06,1.1E+07,1.4E+07,1.4E+07,1.3E+07,3.9E+06,4.3E+06,2.6E+06,3.0E+06,3.4E+06,3.1E+06,4.0E+06,3.4E+06,1.0E+07,1.1E+07,1.4E+07,6.7E+06,1.0E+07,9.8E+06,9.7E+06,7.3E+06,6.4E+05,5.8E+05,1.1E+05,1.1E+05,6.4E+05,5.1E+05,7.9E+05,22.3,17.1,17.8,18.8,18.0,15.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fumaric acid,116.0110,10.47,0.03,A024,RP_neg_2020,88.19952713,10197150,C00122,HMDB0000134,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A009_RP,Guanidineacetic acid,117.0539,4.10,0.1,0.6,0.2,-2.4,0.8,3.2,-2.9,0.7,3.6,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,7.09227681340184000000E-07,3.47130844133871000000E-02,2.91346741969940000000E-08,4.16966659287575000000E-08,1.66429189708445000000E-01,7.30699590577844000000E-09,1.0E+07,1.2E+07,1.1E+07,1.1E+07,1.0E+07,8.7E+06,1.1E+07,1.3E+07,6.6E+07,9.3E+07,4.5E+07,7.1E+07,8.4E+07,1.2E+08,4.0E+07,6.6E+07,4.4E+06,6.2E+06,7.0E+06,5.8E+06,6.3E+06,8.7E+06,6.2E+06,7.7E+06,9.6E+04,9.5E+04,8.7E+04,8.5E+04,8.4E+04,8.6E+04,8.4E+04,19.0,18.7,27.5,34.6,15.9,5.1,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,4.13,0.34,A114,RP_pos_2020,46.01477252,743,C00581,HMDB0000128,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guanidineacetic acid,117.0538,4.12,0.34,A114,RP_neg_2020,46.01477252,743,C00581,HMDB0000128,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A010_RP,Betaine,117.0790,4.09,0.3,-0.4,-0.3,-1.8,-3.7,-1.8,-1.1,-3.0,-1.9,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,8.06242389377665000000E-05,2.90558792473349000000E-09,6.08270902942799000000E-05,5.44981002098175000000E-03,3.30400785619744000000E-08,5.11814374974874000000E-05,5.7E+07,9.5E+07,6.6E+07,5.8E+07,6.8E+07,9.4E+07,6.3E+07,6.9E+07,2.0E+08,1.4E+08,2.6E+08,2.1E+08,1.7E+08,1.4E+08,3.0E+08,2.8E+08,1.3E+09,9.5E+08,8.3E+08,6.6E+08,7.1E+08,6.4E+08,7.8E+08,6.4E+08,1.2E+06,5.5E+06,5.5E+06,5.1E+06,5.9E+05,4.7E+06,5.4E+06,21.0,30.4,36.7,25.4,23.4,7.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Betaine,117.0790,4.19,0.49,A029,RP_pos_2020,,242,C00719,HMDB0000043,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A011_RP,Succinic acid,118.0267,10.44,-0.1,0.0,-0.3,1.0,1.2,0.1,0.9,1.4,0.5,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.66141965579957000000E-02,1.73669135523587000000E-03,9.99999999996173000000E-01,8.27984550727457000000E-02,1.02383985239140000000E-03,4.29190269683105000000E-01,1.3E+08,1.4E+08,1.2E+08,1.1E+08,1.1E+08,5.3E+07,8.9E+07,1.0E+08,7.4E+07,7.0E+07,5.6E+07,4.9E+07,5.9E+07,6.3E+07,5.2E+07,5.3E+07,4.6E+07,4.2E+07,5.5E+07,4.0E+07,5.4E+07,4.4E+07,5.1E+07,4.3E+07,1.9E+06,7.5E+05,1.1E+06,1.2E+06,1.6E+06,1.3E+06,1.2E+06,4.0,8.1,15.6,15.8,35.0,14.8,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Succinic acid,118.0266,10.54,0.86,B017,RP_pos_2020,90.35697156,1078,C00042,HMDB0000254,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Succinic acid,118.0266,10.55,0.86,B017,RP_neg_2020,90.35697156,1078,C00042,HMDB0000254,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A012_RP,Threonine,119.0584,3.92,0.3,0.6,0.3,-1.1,-3.6,-2.4,-1.4,-3.6,-2.1,1.00000000000000000000E+00,7.12039289058540000000E-01,1.00000000000000000000E+00,2.62222689901718000000E-05,2.96066874720206000000E-12,2.59712560980928000000E-09,3.64017325772599000000E-07,3.70641788865416000000E-12,4.40641453880453000000E-08,4.7E+07,6.0E+07,4.6E+07,5.5E+07,4.0E+07,4.2E+07,4.6E+07,5.9E+07,1.1E+08,1.9E+08,1.0E+08,1.4E+08,8.6E+07,1.6E+08,9.6E+07,1.5E+08,6.1E+08,6.7E+08,5.3E+08,6.7E+08,5.6E+08,6.8E+08,4.9E+08,4.4E+08,1.9E+05,2.0E+05,1.9E+05,8.8E+05,1.7E+05,1.8E+05,7.6E+05,18.9,9.9,13.9,10.3,14.9,6.7,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-(-)-Threonine,119.0582,3.95,0.93,A076,RP_pos_2020,92.75173657,6051,C00188,HMDB0000167,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,3.86,0.93,A030,RP_pos_2020,92.7016875,12126,C00263,HMDB0000719,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Homoserine,119.0582,3.85,0.93,A030,RP_neg_2020,92.7016875,12126,C00263,HMDB0000719,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Threonine,119.0582,3.92,0.93,A076,RP_neg_2020,92.75173657,6051,C00188,HMDB0000167,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A013_RP,Taurine,125.0147,3.82,-0.1,-0.3,-0.3,-0.5,-0.5,0.1,-0.4,-0.3,0.1,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.03907659783544000000E-02,9.88050233314954000000E-03,9.99999999996173000000E-01,3.32461551157006000000E-02,6.71506970911702000000E-02,9.99999999992595000000E-01,3.6E+09,4.0E+09,3.6E+09,3.4E+09,3.6E+09,2.8E+09,3.6E+09,3.4E+09,5.4E+09,4.4E+09,5.1E+09,4.2E+09,4.6E+09,4.3E+09,5.3E+09,5.0E+09,5.7E+09,5.4E+09,5.1E+09,4.0E+09,5.0E+09,3.9E+09,4.5E+09,4.1E+09,2.6E+05,3.9E+05,2.4E+05,3.7E+05,2.9E+05,2.4E+05,3.1E+05,16.3,9.6,7.7,6.5,14.9,0.3,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurine,125.0147,3.84,0.58,A001,RP_pos_2020,93.37123242,1091,C00245,HMDB0000251,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taurine,125.0147,3.85,0.58,A001,RP_neg_2020,93.37123242,1091,C00245,HMDB0000251,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A014_RP,2-Hydroxyethanesulfonic acid,125.9987,4.15,-0.3,0.1,-0.6,1.9,2.1,0.3,1.5,2.4,0.9,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,6.60447713718426000000E-06,1.24007064475517000000E-06,9.99999999996173000000E-01,2.77196481469295000000E-05,1.57024639237853000000E-07,6.69632304770461000000E-02,4.3E+07,5.1E+07,4.4E+07,3.6E+07,4.4E+07,3.5E+07,4.1E+07,3.4E+07,1.4E+07,1.2E+07,1.0E+07,9.8E+06,1.1E+07,1.4E+07,1.3E+07,1.5E+07,1.4E+07,1.2E+07,1.1E+07,6.9E+06,9.5E+06,6.6E+06,9.1E+06,6.2E+06,3.6E+05,6.9E+04,2.5E+05,2.4E+05,7.1E+04,5.9E+04,1.1E+05,35.8,22.0,17.9,16.7,20.3,3.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-Hydroxyethanesulfonic acid,125.9987,4.20,0.27,A053,RP_neg_2020,21.54513561,7578,C05123,HMDB0003903,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A015_RP,L-Pyroglutamic acid,129.0427,9.63,0.5,0.7,0.2,1.1,1.0,-0.1,0.9,1.2,0.3,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,1.85457536212925000000E-02,3.11274540845969000000E-02,9.99999999996173000000E-01,2.54072054262548000000E-02,2.07087113450464000000E-03,9.99999999992595000000E-01,6.0E+07,1.0E+08,6.5E+07,6.0E+07,5.8E+07,2.3E+08,7.3E+07,7.1E+07,3.1E+07,5.9E+07,2.6E+07,4.0E+07,2.7E+07,3.7E+07,3.0E+07,5.0E+07,3.0E+07,3.3E+07,3.6E+07,3.4E+07,2.6E+07,3.9E+07,3.2E+07,4.1E+07,6.4E+06,2.2E+06,4.2E+06,4.3E+06,3.2E+06,2.7E+06,3.1E+06,10.3,12.7,22.0,7.3,67.2,10.2,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Pyroglutamic acid,129.0426,9.76,0.66,A112,RP_pos_2020,69.84431667,7127,C01879,HMDB0000267,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L-Pyroglutamic acid,129.0426,9.84,0.66,A112,RP_neg_2020,69.84431667,7127,C01879,HMDB0000267,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A016_RP,Hydroxy-L-proline,131.0584,3.94,-0.2,0.1,0.1,-4.3,-5.0,-0.7,-4.6,-5.3,-0.7,1.00000000000000000000E+00,1.00000000000000000000E+00,1.00000000000000000000E+00,6.97481743722586000000E-10,3.24449332648640000000E-11,1.20538151915160000000E-01,3.09789048873559000000E-10,2.42778623291985000000E-11,2.17087153053524000000E-01,5.8E+06,1.1E+07,7.8E+06,6.1E+06,9.2E+06,4.5E+06,4.8E+06,5.6E+06,9.2E+07,1.3E+08,1.7E+08,1.6E+08,1.3E+08,1.3E+08,1.3E+08,1.6E+08,2.6E+08,2.5E+08,2.4E+08,2.4E+08,1.9E+08,2.3E+08,2.0E+08,1.9E+08,3.7E+06,3.9E+06,3.2E+06,2.2E+05,1.4E+05,1.5E+05,2.8E+06,11.0,13.5,13.4,25.0,43.9,29.0,,,
,Name,Molecular Weight,RT [min],DeltaMass [ppm],DBID,Reference List Name,mzLogic Score,ChemSpider ID,KEGG,HMDB,Mass List Search Results ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5-Aminolevulinic acid,131.0582,4.18,0.86,C108,RP_pos_2020,86.19836128,134,C00430,HMDB0001149,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hydroxy-L-proline,131.0582,3.93,0.86,E30,RP_pos_2020,87.69301944,5605,C01157,HMDB0000725,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
